text,true emotion,GPT 4.1,GPT 4.1 mini,Gemini 2.5 Flash
你要不要去吃午餐？,平淡語氣,疑問語調,疑問語調,疑問語調
誒誒誒！我甄選上了！,開心語調,開心語調,開心語調,開心語調
我幾天身體好像有點不太舒服，肚子好痛,悲傷語調,關切語調,關切語調,關切語調
我的小專題組員都不做事，幹!超後悔跟他一組,憤怒語調,憤怒語調,憤怒語調,憤怒語調
他們是不是吵架了？不會打起來吧？,平淡語氣,疑問語調,疑問語調,關切語調
你知道嗎?我們班有人交女朋友誒!,驚奇語調,驚奇語調,驚奇語調,驚奇語調
幹！他真的有夠噁心，衛生習慣有夠差。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
啊今天騎腳踏車你去不去？,平淡語氣,疑問語調,疑問語調,疑問語調
我們今天班際籃球賽贏了！！！,開心語調,開心語調,開心語調,開心語調
今天我跟我朋友吵架了,悲傷語調,悲傷語調,悲傷語調,悲傷語調
有人在背後說我胖！幹!,憤怒語調,憤怒語調,憤怒語調,憤怒語調
我好像被我喜歡的人討厭了。,平淡語氣,悲傷語調,悲傷語調,悲傷語調
我剛剛看到有人的眉毛像是蠟筆小新！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
為什麼我的便當裡面都是青椒啦！真的吵討厭吃青椒的！,厭惡語調,憤怒語調,憤怒語調,厭惡語調
這禮拜要去圖書館嗎？,平淡語氣,疑問語調,疑問語調,疑問語調
我這禮拜就要出國玩了!,開心語調,開心語調,開心語調,開心語調
我覺得我好像要被當了...,悲傷語調,悲傷語調,悲傷語調,悲傷語調
你知道嗎?他們竟然分手了!,驚奇語調,驚奇語調,驚奇語調,驚奇語調
我昨天夢到有一隻超大蜘蛛在追著我跑！,平淡語氣,驚奇語調,驚奇語調,驚奇語調
今天去吃的那家餐廳真的蠻髒的。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
我這次終於把程式寫出來了！,開心語調,開心語調,開心語調,開心語調
我今天被老師罵了..,悲傷語調,悲傷語調,悲傷語調,悲傷語調
今年的夏天好像比較晚來,平淡語氣,平淡語氣,平淡語氣,平淡語氣
為什麼他們可以在背後這樣批評人超沒禮貌的。,憤怒語調,憤怒語調,憤怒語調,憤怒語調
他們兩個竟然牽手了!,驚奇語調,驚奇語調,驚奇語調,驚奇語調
你覺得我今天哪裡不一樣？,平淡語氣,疑問語調,疑問語調,疑問語調
今年的聖誕節又要到了！,開心語調,開心語調,開心語調,開心語調
竟然有人會在交換禮物送小番茄？,驚奇語調,驚奇語調,驚奇語調,驚奇語調
明天就要比賽了，真的好緊張。,平淡語氣,關切語調,關切語調,關切語調
這次聖誕節禮物抽到了盜版的東西，煩死了。,厭惡語調,憤怒語調,憤怒語調,憤怒語調
我剛剛座位抽到我好朋友的旁邊！,開心語調,開心語調,驚奇語調,開心語調
黑豹的演員過世了...,悲傷語調,悲傷語調,悲傷語調,悲傷語調
有人在背後說我的壞話！,憤怒語調,憤怒語調,憤怒語調,悲傷語調
你覺得今年我有可能中樂透嗎？,平淡語氣,疑問語調,疑問語調,疑問語調
聽說我們科裡有老師要退休了。,驚奇語調,關切語調,疑問語調,平淡語氣
啊我不小心吃到肉了！,平淡語氣,驚奇語調,驚奇語調,驚奇語調
我媽終於要讓我養狗了！,開心語調,開心語調,開心語調,開心語調
今天的天氣真的超悶。,厭惡語調,平淡語氣,平淡語氣,厭惡語調
這次的表演我犯了一個超大的錯誤，我搞砸了。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我的同學一直嗆我的飲食習慣。,憤怒語調,憤怒語調,關切語調,關切語調
你知道嗎?國防老師今年已經四十幾歲!,驚奇語調,驚奇語調,驚奇語調,平淡語氣
最近好像有颱風要來誒！,驚奇語調,驚奇語調,驚奇語調,平淡語氣
我終於弄懂了基本電學！,開心語調,開心語調,開心語調,開心語調
這個老師的規定也太奇怪了吧。,厭惡語調,驚奇語調,憤怒語調,厭惡語調
昨天騎腳踏車的時候，我差一點就被車撞了。,平淡語氣,驚奇語調,關切語調,關切語調
我養了三年的魚今天死了...,悲傷語調,悲傷語調,悲傷語調,悲傷語調
你覺得今年的流行趨勢會是什麼?,平淡語氣,疑問語調,疑問語調,疑問語調
有人在公車上對老人家沒禮貌!,憤怒語調,,憤怒語調,憤怒語調
我剛剛在路上看到一個超級像明星的人!,驚奇語調,驚奇語調,驚奇語調,驚奇語調
我剛剛收到了大學錄取通知書!,開心語調,開心語調,開心語調,開心語調
